TS,X,Y,Z,Activity
1569902137249,2.4073792,-1.4987793,-4.0533905,WALKING
1569902137269,5.948395,-4.165909,-0.19633484,WALKING
1569902137289,2.098526,3.0526123,2.6396027,WALKING
1569902137311,-6.4481964,11.580765,-3.4919434,WALKING
1569902137329,-10.808029,17.995422,-2.2080536,WALKING
1569902137349,-8.7729645,14.888947,0.8224182,WALKING
1569902137369,-3.4416656,8.746613,2.5827484,WALKING
1569902137389,2.082962,6.616379,0.88705444,WALKING
1569902137409,5.1774597,6.7175293,-1.9261322,WALKING
1569902137429,1.1558075,8.987244,0.32382202,WALKING
1569902137448,-4.185074,9.128494,-0.104156494,WALKING
1569902137469,-3.8917847,8.208527,-2.5492249,WALKING
1569902137488,-2.795227,8.391678,1.3533173,WALKING
1569902137509,-2.9436798,8.222885,2.2224274,WALKING
1569902137528,-3.2309723,8.113953,1.5975342,WALKING
1569902137548,-2.7335815,8.760391,0.9301605,WALKING
1569902137568,-3.181305,8.986633,0.7224579,WALKING
1569902137588,-2.9418793,8.265991,0.7613678,WALKING
1569902137608,-1.5741882,8.186386,1.5239105,WALKING
1569902137628,-1.3455505,9.126099,-0.42138672,WALKING
1569902137648,-1.6998901,10.338165,-0.99420166,WALKING
1569902137668,-2.1326294,11.16716,-1.030716,WALKING
1569902137688,-2.293045,13.135788,0.34176636,WALKING
1569902137708,-1.5221252,14.48732,3.2309875,WALKING
1569902137728,-1.964447,12.631821,2.5516205,WALKING
1569902137748,-3.7038422,13.532028,2.735382,WALKING
1569902137768,-4.660324,12.901154,1.5753784,WALKING
1569902137787,-1.7741089,11.154587,-0.8194275,WALKING
1569902137808,1.0534515,11.282684,-2.4756165,WALKING
1569902137829,-0.49440002,14.563934,-2.3600922,WALKING
1569902137848,1.0582428,17.879898,0.292099,WALKING
1569902137868,2.731186,18.166016,4.719574,WALKING
1569902137888,-0.101760864,16.52478,3.1998596,WALKING
1569902137908,-1.1659698,13.869019,2.2385864,WALKING
1569902137927,-3.7930145,10.474045,-0.57699585,WALKING
1569902137947,-4.5088806,8.133102,-0.5470886,WALKING
1569902137967,-1.0929565,5.8687897,-1.7711182,WALKING
1569902137987,1.7729034,4.2622833,-2.1374207,WALKING
1569902138007,2.916748,3.1244354,-0.9397278,WALKING
1569902138027,2.0793762,1.4676514,0.33039856,WALKING
1569902138047,2.2756958,0.45491028,0.99420166,WALKING
1569902138067,2.1559906,0.31663513,1.0007782,WALKING
1569902138087,1.9991608,0.63386536,1.1186981,WALKING
1569902138107,2.6294403,1.2258301,2.394806,WALKING
1569902138127,2.8054047,3.031662,4.4059296,WALKING
1569902138147,1.830368,8.22229,7.838028,WALKING
1569902138167,-0.037719727,19.893433,14.164108,WALKING
1569902138187,0.6793518,25.201965,13.986938,WALKING
1569902138207,0.83618164,12.477386,7.961319,WALKING
1569902138227,3.0903168,1.2066803,4.7381287,WALKING
1569902138247,6.154892,1.640625,6.9755096,WALKING
1569902138267,2.9185333,15.377365,10.032303,WALKING
1569902138286,-2.813797,25.211548,3.126831,WALKING
1569902138306,-0.69851685,6.9360046,-9.932358,WALKING
1569902138327,7.205948,-0.9139862,-0.37049866,WALKING
1569902138347,6.1207886,5.1672974,4.5908813,WALKING
1569902138366,-3.8684387,10.86908,-3.1399994,WALKING
1569902138386,-7.3268585,15.701172,0.008377075,WALKING
1569902138406,-6.70018,17.183792,0.5279236,WALKING
1569902138427,-5.0745087,10.585968,2.355896,WALKING
1569902138446,-1.4616547,7.6315155,0.029327393,WALKING
1569902138467,2.7952423,7.0150146,-0.4806366,WALKING
1569902138486,2.6910858,8.209122,1.5005646,WALKING
1569902138506,-0.6751709,8.886688,-0.50038147,WALKING
1569902138526,-3.4332886,7.898468,0.3645172,WALKING
1569902138546,-2.952652,7.185013,-0.15144348,WALKING
1569902138566,-0.9313507,7.33165,-1.3617096,WALKING
1569902138586,-0.7876892,7.7386627,1.1929169,WALKING
1569902138607,-1.5789795,7.671631,1.0474701,WALKING
